algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
LCA,70,1,0,112,0.057000,519,519,2,no
Binary Lifting,70,1,0,112,0.088800,759,759,2,no
Basic BFS,70,5,0,112,0.021500,91,91,12,no
TwoWays BFS,70,5,0,112,0.247200,1688,1688,12,no
LCA,70,5,0,112,0.068600,519,519,12,no
Binary Lifting,70,5,0,112,0.082600,759,759,12,no
Basic BFS,70,10,0,112,0.032500,207,207,1,no
TwoWays BFS,70,10,0,112,0.232900,1688,1688,1,no
LCA,70,10,0,112,0.062000,519,519,1,no
Binary Lifting,70,10,0,112,0.079300,759,759,1,no
Basic BFS,70,20,0,112,0.069000,208,208,0,no
TwoWays BFS,70,20,0,112,0.251600,1688,1688,0,no
LCA,70,20,0,112,0.087800,519,519,0,no
Binary Lifting,70,20,0,112,0.086700,759,759,0,no
Basic BFS,80,1,0,122,0.006000,5,5,2,no
TwoWays BFS,80,1,0,122,0.340800,2343,2343,2,no
LCA,80,1,0,122,0.063200,620,620,2,no
Binary Lifting,80,1,0,122,0.087900,870,870,2,no
Basic BFS,80,5,0,122,0.027800,90,90,13,no
TwoWays BFS,80,5,0,122,0.405000,2343,2343,13,no
LCA,80,5,0,122,0.088000,620,620,13,no
Binary Lifting,80,5,0,122,0.095900,870,870,13,no
Basic BFS,80,10,0,122,0.060700,230,230,5,no
TwoWays BFS,80,10,0,122,0.372400,2343,2343,5,no
LCA,80,10,0,122,0.082400,620,620,5,no
Binary Lifting,80,10,0,122,0.109900,870,870,5,no
Basic BFS,80,20,0,122,0.037000,238,238,0,no
TwoWays BFS,80,20,0,122,0.369100,2343,2343,0,no
LCA,80,20,0,122,0.078200,620,620,0,no
Binary Lifting,80,20,0,122,0.113200,870,870,0,no
Basic BFS,90,1,0,132,0.003400,5,5,2,no
TwoWays BFS,90,1,0,132,0.564300,3966,3966,2,no
LCA,90,1,0,132,0.083500,773,773,2,no
Binary Lifting,90,1,0,132,0.117600,982,982,2,no
Basic BFS,90,5,0,132,0.014100,92,92,11,no
TwoWays BFS,90,5,0,132,0.463900,3966,3966,11,no
LCA,90,5,0,132,0.072500,773,773,11,no
Binary Lifting,90,5,0,132,0.095800,982,982,11,no
Basic BFS,90,10,0,132,0.029900,231,231,10,no
TwoWays BFS,90,10,0,132,0.572400,3966,3966,10,no
LCA,90,10,0,132,0.086600,773,773,10,no
Binary Lifting,90,10,0,132,0.124000,982,982,10,no
Basic BFS,90,20,0,132,0.031500,268,268,0,no
TwoWays BFS,90,20,0,132,0.566200,3966,3966,0,no
LCA,90,20,0,132,0.084500,773,773,0,no
Binary Lifting,90,20,0,132,0.116500,982,982,0,no
Basic BFS,100,1,0,142,0.002500,5,5,2,no
TwoWays BFS,100,1,0,142,0.356000,2918,2918,2,no
LCA,100,1,0,142,0.068700,777,777,2,no
Binary Lifting,100,1,0,142,0.100000,1078,1078,2,no
Basic BFS,100,5,0,142,0.014100,121,121,18,no
TwoWays BFS,100,5,0,142,0.382000,2918,2918,18,no
LCA,100,5,0,142,0.094600,777,777,18,no
Binary Lifting,100,5,0,142,0.129500,1078,1078,18,no
Basic BFS,100,10,0,142,0.028100,294,294,4,no
TwoWays BFS,100,10,0,142,0.438900,2918,2918,4,no
LCA,100,10,0,142,0.088900,777,777,4,no
Binary Lifting,100,10,0,142,0.126900,1078,1078,4,no
Basic BFS,100,20,0,142,0.026500,298,298,0,no
TwoWays BFS,100,20,0,142,0.349900,2918,2918,0,no
LCA,100,20,0,142,0.069700,777,777,0,no
Binary Lifting,100,20,0,142,0.100000,1078,1078,0,no
Basic BFS,110,1,0,152,0.002500,5,5,2,no
TwoWays BFS,110,1,0,152,0.421600,3245,3245,2,no
LCA,110,1,0,152,0.089000,846,846,2,no
Binary Lifting,110,1,0,152,0.135100,1191,1191,2,no
Basic BFS,110,5,0,152,0.015600,133,133,21,no
TwoWays BFS,110,5,0,152,0.415300,3245,3245,21,no
LCA,110,5,0,152,0.097000,846,846,21,no
Binary Lifting,110,5,0,152,0.140800,1191,1191,21,no
Basic BFS,110,10,0,152,0.030100,324,324,4,no
TwoWays BFS,110,10,0,152,0.402800,3245,3245,4,no
LCA,110,10,0,152,0.096300,846,846,4,no
Binary Lifting,110,10,0,152,0.138500,1191,1191,4,no
Basic BFS,110,20,0,152,0.029500,328,328,0,no
TwoWays BFS,110,20,0,152,0.394400,3245,3245,0,no
LCA,110,20,0,152,0.076300,846,846,0,no
Binary Lifting,110,20,0,152,0.111600,1191,1191,0,no
Basic BFS,120,1,0,162,0.002400,5,5,2,no
TwoWays BFS,120,1,0,162,0.490700,4127,4127,2,no
LCA,120,1,0,162,0.085700,1015,1015,2,no
Binary Lifting,120,1,0,162,0.121600,1304,1304,2,no
Basic BFS,120,5,0,162,0.016000,108,108,16,no
TwoWays BFS,120,5,0,162,0.517400,4127,4127,16,no
LCA,120,5,0,162,0.088400,1015,1015,16,no
Binary Lifting,120,5,0,162,0.122800,1304,1304,16,no
Basic BFS,120,10,0,162,0.032200,339,339,7,no
TwoWays BFS,120,10,0,162,0.489300,4127,4127,7,no
LCA,120,10,0,162,0.089300,1015,1015,7,no
Binary Lifting,120,10,0,162,0.121400,1304,1304,7,no
Basic BFS,120,20,0,162,0.038900,358,358,0,no
TwoWays BFS,120,20,0,162,0.608300,4127,4127,0,no
LCA,120,20,0,162,0.107600,1015,1015,0,no
Binary Lifting,120,20,0,162,0.123500,1304,1304,0,no
Basic BFS,130,1,0,172,0.003100,5,5,2,no
TwoWays BFS,130,1,0,172,0.731200,4611,4611,2,no
LCA,130,1,0,172,0.133200,1112,1112,2,no
Binary Lifting,130,1,0,172,0.185600,1545,1545,2,no
Basic BFS,130,5,0,172,0.016700,111,111,16,no
TwoWays BFS,130,5,0,172,0.681700,4611,4611,16,no
LCA,130,5,0,172,0.096800,1112,1112,16,no
Binary Lifting,130,5,0,172,0.138100,1545,1545,16,no
Basic BFS,130,10,0,172,0.033000,356,356,5,no
TwoWays BFS,130,10,0,172,0.546300,4611,4611,5,no
LCA,130,10,0,172,0.095300,1112,1112,5,no
Binary Lifting,130,10,0,172,0.139200,1545,1545,5,no
Basic BFS,130,20,0,172,0.038600,388,388,0,no
TwoWays BFS,130,20,0,172,0.592100,4611,4611,0,no
LCA,130,20,0,172,0.105200,1112,1112,0,no
Binary Lifting,130,20,0,172,0.139200,1545,1545,0,no
Basic BFS,140,1,0,182,0.002700,5,5,2,no
TwoWays BFS,140,1,0,182,0.553400,4640,4640,2,no
LCA,140,1,0,182,0.102500,1167,1167,2,no
Binary Lifting,140,1,0,182,0.146600,1670,1670,2,no
Basic BFS,140,5,0,182,0.019500,135,135,22,no
TwoWays BFS,140,5,0,182,0.699300,4640,4640,22,no
LCA,140,5,0,182,0.127500,1167,1167,22,no
Binary Lifting,140,5,0,182,0.151200,1670,1670,22,no
Basic BFS,140,10,0,182,0.038100,394,394,9,no
TwoWays BFS,140,10,0,182,0.554400,4640,4640,9,no
LCA,140,10,0,182,0.104600,1167,1167,9,no
Binary Lifting,140,10,0,182,0.152000,1670,1670,9,no
Basic BFS,140,20,0,182,0.047500,418,418,0,no
TwoWays BFS,140,20,0,182,0.546800,4640,4640,0,no
LCA,140,20,0,182,0.102300,1167,1167,0,no
Binary Lifting,140,20,0,182,0.149500,1670,1670,0,no
Basic BFS,150,1,0,192,0.002700,5,5,2,no
TwoWays BFS,150,1,0,192,0.806000,6134,6134,2,no
LCA,150,1,0,192,0.135400,1358,1358,2,no
Binary Lifting,150,1,0,192,0.193700,1792,1792,2,no
Basic BFS,150,5,0,192,0.012700,95,95,14,no
TwoWays BFS,150,5,0,192,0.767600,6134,6134,14,no
LCA,150,5,0,192,0.114100,1358,1358,14,no
Binary Lifting,150,5,0,192,0.158800,1792,1792,14,no
Basic BFS,150,10,0,192,0.036100,402,402,16,no
TwoWays BFS,150,10,0,192,0.682600,6134,6134,16,no
LCA,150,10,0,192,0.111700,1358,1358,16,no
Binary Lifting,150,10,0,192,0.154700,1792,1792,16,no
Basic BFS,150,20,0,192,0.039800,448,448,0,no
TwoWays BFS,150,20,0,192,0.692300,6134,6134,0,no
LCA,150,20,0,192,0.120800,1358,1358,0,no
Binary Lifting,150,20,0,192,0.173500,1792,1792,0,no
Basic BFS,160,1,0,202,0.002600,5,5,2,no
TwoWays BFS,160,1,0,202,1.281200,8137,8137,2,no
LCA,160,1,0,202,0.179500,1555,1555,2,no
Binary Lifting,160,1,0,202,0.170000,1924,1924,2,no
Basic BFS,160,5,0,202,0.013900,111,111,16,no
TwoWays BFS,160,5,0,202,1.086200,8137,8137,16,no
LCA,160,5,0,202,0.178600,1555,1555,16,no
Binary Lifting,160,5,0,202,0.172700,1924,1924,16,no
Basic BFS,160,10,0,202,0.042700,356,356,20,no
TwoWays BFS,160,10,0,202,1.033100,8137,8137,20,no
LCA,160,10,0,202,0.128900,1555,1555,20,no
Binary Lifting,160,10,0,202,0.172200,1924,1924,20,no
Basic BFS,160,20,0,202,0.047300,478,478,0,no
TwoWays BFS,160,20,0,202,0.980200,8137,8137,0,no
LCA,160,20,0,202,0.122000,1555,1555,0,no
Binary Lifting,160,20,0,202,0.207400,1924,1924,0,no
Basic BFS,170,1,0,212,0.002500,5,5,2,no
TwoWays BFS,170,1,0,212,0.771600,6541,6541,2,no
LCA,170,1,0,212,0.126300,1482,1482,2,no
Binary Lifting,170,1,0,212,0.180300,2023,2023,2,no
Basic BFS,170,5,0,212,0.016000,133,133,21,no
TwoWays BFS,170,5,0,212,0.773800,6541,6541,21,no
LCA,170,5,0,212,0.125400,1482,1482,21,no
Binary Lifting,170,5,0,212,0.183500,2023,2023,21,no
Basic BFS,170,10,0,212,0.044900,473,473,8,no
TwoWays BFS,170,10,0,212,0.767400,6541,6541,8,no
LCA,170,10,0,212,0.137700,1482,1482,8,no
Binary Lifting,170,10,0,212,0.176700,2023,2023,8,no
Basic BFS,170,20,0,212,0.043200,508,508,0,no
TwoWays BFS,170,20,0,212,0.760900,6541,6541,0,no
LCA,170,20,0,212,0.121600,1482,1482,0,no
Binary Lifting,170,20,0,212,0.177100,2023,2023,0,no
Basic BFS,180,1,0,222,0.002600,5,5,2,no
TwoWays BFS,180,1,0,222,0.773700,6553,6553,2,no
LCA,180,1,0,222,0.129400,1548,1548,2,no
Binary Lifting,180,1,0,222,0.183100,2149,2149,2,no
Basic BFS,180,5,0,222,0.016300,140,140,26,no
TwoWays BFS,180,5,0,222,0.777600,6553,6553,26,no
LCA,180,5,0,222,0.133500,1548,1548,26,no
Binary Lifting,180,5,0,222,0.190400,2149,2149,26,no
Basic BFS,180,10,0,222,0.044800,505,505,12,no
TwoWays BFS,180,10,0,222,0.769000,6553,6553,12,no
LCA,180,10,0,222,0.141400,1548,1548,12,no
